Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),1-d Cubic compressive strength (MPa)
1021,39.8064591439689,17.9952140077821,5.62715953307393,18.864280155642,3.57836575875486,0.954124513618677,2.82354085603113,1.24466926070039,0.897704280155642,0.101867704280156,0.052023346303502,0.234357976653697,0,3.10108949416342,308,206,0,935,615,121,99,0,121,0.128,0.255,0.62,15.49,30.86,74.657,99,10,59.4,39.6,75,0,209.057,0,25,24,138.778,12.2
1022,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,270,180,0,1030,670,106,87,0,106,0.128,0.255,0.62,13.57,27.03,65.402,87,10,52.2,34.8,65,0,182.602,0,25,24,123.402,14.6
1023,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,240,160,0,1110,720,94,77,0,94,0.128,0.255,0.62,12.03,23.97,57.998,77,10,46.2,30.8,55,0,159.198,0,25,24,110.886,8.2
1024,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,210,140,0,1170,760,82,68,0,82,0.128,0.255,0.62,10.5,20.91,50.594,68,10,40.8,27.2,50,0,141.394,0,25,24,98.992,2.8
1025,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,210,140,0,1155,750,82,68,0,82,0.128,0.255,0.62,10.5,20.91,50.594,68,10,40.8,27.2,60,0,151.394,0,25,24,98.872,4
1026,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,240,160,0,1070,710,94,77,0,94,0.128,0.255,0.62,12.03,23.97,57.998,77,10,46.2,30.8,70,0,174.198,0,25,24,110.646,14.7
1027,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,270,180,0,1050,690,106,87,0,106,0.128,0.255,0.62,13.57,27.03,65.402,87,10,52.2,34.8,50,0,167.602,0,25,24,123.594,15.3
1028,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,210,140,0,1120,730,83,67,0,83,0.128,0.255,0.62,10.62,21.17,51.211,67,10,40.2,26.8,80,0,171.411,0,25,24,98.202,3.4
1029,39.828743718593,18.0096733668342,5.63841708542714,18.8111557788945,3.57118090452261,0.95391959798995,2.82758793969849,1.24356783919598,0.898190954773869,0.102085427135678,0.0519849246231156,0.233768844221106,0,3.10258793969849,239,159,0,1111,721,94,77,0,94,0.128,0.255,0.62,12.03,23.97,57.998,77,10,46.2,30.8,52,0,156.198,0,25,24,110.8396,12.6
1030,39.8290861618799,18.0098955613577,5.63859007832898,18.8103394255875,3.57107049608355,0.953916449086162,2.8276501305483,1.24355091383812,0.898198433420366,0.102088772845953,0.0519843342036554,0.233759791122715,0,3.10261096605744,230,153,0,1111,721,90,74,0,90,0.128,0.255,0.62,11.52,22.95,55.53,74,10,44.4,29.6,63,0,162.93,0,25,24,106.7536,7.9
1031,39.8292063492063,18.0099735449735,5.63865079365079,18.8100529100529,3.57103174603175,0.953915343915344,2.82767195767196,1.24354497354497,0.898201058201058,0.102089947089947,0.051984126984127,0.233756613756614,0,3.10261904761905,227,151,0,1111,721,89,73,0,89,0.128,0.255,0.62,11.39,22.7,54.913,73,10,43.8,29.2,66,0,164.713,0,25,24,105.5116,8.7
1032,39.8295867768595,18.0102203856749,5.63884297520661,18.8091460055096,3.57090909090909,0.953911845730028,2.82774104683196,1.2435261707989,0.898209366391185,0.102093663911846,0.0519834710743802,0.233746556473829,0,3.10264462809917,218,145,0,1111,721,86,70,0,86,0.128,0.255,0.62,11.01,21.93,53.062,70,10,42,28,76,0,171.062,0,25,24,101.7856,11.6
1033,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,219,146,0,1145,742,86,70,0,86,0.128,0.255,0.62,11.01,21.93,53.062,70,10,42,28,56,0,151.062,0,25,24,102.1056,10.7
1034,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,216,144,0,1145,742,85,69,0,85,0.128,0.255,0.62,10.88,21.68,52.445,69,10,41.4,27.6,59,0,152.845,0,25,24,100.8636,9.5
1035,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,213,142,0,1145,742,84,69,0,84,0.128,0.255,0.62,10.75,21.42,51.828,69,10,41.4,27.6,62,0,155.228,0,25,24,100.3876,9.8
1036,39.83,18.0104885057471,5.63905172413793,18.8081609195402,3.57077586206897,0.953908045977012,2.82781609195402,1.24350574712644,0.898218390804598,0.102097701149425,0.0519827586206897,0.233735632183908,0,3.1026724137931,209,139,0,1160,753,82,67,0,82,0.128,0.255,0.62,10.5,20.91,50.594,67,10,40.2,26.8,57,0,147.794,0,25,24,98.0884,12.8
1037,39.7994690265487,17.9906784660767,5.62362831858407,18.8809439528024,3.58061946902655,0.954188790560472,2.82227138643068,1.24501474926254,0.897551622418879,0.101799410029499,0.0520353982300885,0.234542772861357,0,3.10061946902655,203,136,0,1160,753,80,65,0,80,0.128,0.255,0.62,10.24,20.4,49.36,65,10,39,26,63,0,151.36,0,25,24,95.6564,9.3
1038,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0.052,0.234,0,3.102,198,132,0,1160,753,78,64,0,78,0.128,0.255,0.62,9.98,19.89,48.126,64,10,38.4,25.6,69,0,155.526,0,25,24,93.9424,1.3
1231,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,391,0,0,1111,721,92,75,0,92,0.128,0.255,0.62,11.78,23.46,56.764,75,7.5,52.5,22.5,0,0,109.264,28,70,65,895.0651,11.4587
1232,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,380,0,0,1111,721,89,73,0,89,0.128,0.255,0.62,11.39,22.7,54.913,73,7.5,51.1,21.9,0,0,106.013,28,70,65,892.7921,11.0445
