Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
508,45.1652567975831,24.8927643504532,2.43140483383686,17.5255589123867,5.43317220543807,0.183957703927492,0.717960725075529,0,1.19965256797583,0.246676737160121,0,0,0,0.822129909365559,0,397,265,0,0,0,1008,432,213,85,1.13,1.4,213,0.0893,0.298,0.61,19.02,63.47,130.5051,85,6,64.6,20.4,0,0,195.1051,0,25,24,138.026,36.2842
509,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1176,504,182,73,0,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,3,64.24,8.76,0,0,175.7514,0,25,24,101.1474,30.1053
510,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1176,504,182,73,1.17,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,8,49.64,23.36,0,0,161.1514,0,25,24,129.1064,41.8947
511,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,116.916,66.259
512,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,107.188,67.3861
513,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,93.1016,53.2493
514,48.8814218009479,27.7781200631912,2.75939968404423,12.2576619273302,3.68497630331754,0.207266982622433,0.739605055292259,0,1.39112164296998,0.31460663507109,0,0,0,0.750537124802528,0,485,148,0,0,0,858,520,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,111.508,40.6474
515,48.8814218009479,27.7781200631912,2.75939968404423,12.2576619273302,3.68497630331754,0.207266982622433,0.739605055292259,0,1.39112164296998,0.31460663507109,0,0,0,0.750537124802528,0,485,148,0,0,0,858,520,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,101.78,34.2926
516,48.8814218009479,27.7781200631912,2.75939968404423,12.2576619273302,3.68497630331754,0.207266982622433,0.739605055292259,0,1.39112164296998,0.31460663507109,0,0,0,0.750537124802528,0,485,148,0,0,0,858,520,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,87.6936,18.717
517,49.636,28.364,2.826,11.188,3.33,0.212,0.744,0,1.43,0.3284,0,0,0,0.736,0,504,126,0,0,0,858,520,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,110.44,44.1007
