Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,LOI,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
1547,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,1010.929815,765.670185,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,149.70048,44.67
1548,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,258,172,967.961046,795.038954,168.9285714,67.57142857,0.115,0.3,0.59,19.43,50.68,98.82321429,8,45.94857143,21.62285714,0,17.2,155.0917857,0,25,1,30,152.9964571271,43.71
1549,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,264,176,969.4600256,777.3399744,172.8571429,69.14285714,0.115,0.3,0.59,19.88,51.86,101.1214286,8,47.01714286,22.12571429,0,17.6,158.6985714,0,25,1,30,156.27995430935,42.91
1550,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,971.9619525,760.5380475,176.7857143,70.71428571,0.115,0.3,0.59,20.33,53.04,103.4196429,8,48.08571429,22.62857143,0,18,162.3053571,0,25,1,30,159.57257143645,41.85
1551,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.844597,773.9554032,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,131.6842971271,51.61
1552,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,185,185,1081.558448,775.8415522,145.3571429,58.14285714,0.115,0.3,0.59,16.72,43.61,85.03392857,8,39.53714286,18.60571429,0,14.8,133.4510714,0,25,1,30,135.05803430935,50.73
1553,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,190,190,1070.455144,776.3448564,149.2857143,59.71428571,0.115,0.3,0.59,17.17,44.79,87.33214286,8,40.60571429,19.10857143,0,15.2,137.0578571,0,25,1,30,138.41641143645,49.86
1554,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,195,195,1057.564014,775.435986,153.2142857,61.28571429,0.115,0.3,0.59,17.62,45.96,89.63035714,8,41.67428571,19.61142857,0,15.6,140.6646429,0,25,1,30,141.75942856355,49
1555,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,200,200,1043.045024,772.954976,157.1428571,62.85714286,0.115,0.3,0.59,18.07,47.14,91.92857143,8,42.74285714,20.11428571,0,16,144.2714286,0,25,1,30,145.08708569065,48.14
1556,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,205,205,1026.649881,769.150119,161.0714286,64.42857143,0.115,0.3,0.59,18.52,48.32,94.22678571,8,43.81142857,20.61714286,0,16.4,147.8782143,0,25,1,30,148.3993828729,47.28
1557,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,1010.929815,765.670185,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,151.71648,46.48
1558,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,215,215,967.961046,795.038954,168.9285714,67.57142857,0.115,0.3,0.59,19.43,50.68,98.82321429,8,45.94857143,21.62285714,0,17.2,155.0917857,0,25,1,30,155.0604571271,47.15
1559,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,220,220,969.4600256,777.3399744,172.8571429,69.14285714,0.115,0.3,0.59,19.88,51.86,101.1214286,8,47.01714286,22.12571429,0,17.6,158.6985714,0,25,1,30,158.39195430935,47.71
1560,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,225,225,971.9619525,760.5380475,176.7857143,70.71428571,0.115,0.3,0.59,20.33,53.04,103.4196429,8,48.08571429,22.62857143,0,18,162.3053571,0,25,1,30,161.73257143645,48.45
1561,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.844597,773.9554032,154.2857143,61.71428571,0.115,0.3,0.59,17.74,46.29,90.25714286,8,41.96571429,19.74857143,0,14.4,140.8628571,0,25,1,30,136.00841143645,25.71
1562,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,259,111,1081.558448,775.8415522,158.5714286,63.42857143,0.115,0.3,0.59,18.24,47.57,92.76428571,8,43.13142857,20.29714286,0,14.8,144.7757143,0,25,1,30,139.5022628729,25.6
1563,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,266,114,1070.455144,776.3448564,162.8571429,65.14285714,0.115,0.3,0.59,18.73,48.86,95.27142857,8,44.29714286,20.84571429,0,15.2,148.6885714,0,25,1,30,142.98075430935,25.5
1564,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,273,117,1057.564014,775.435986,167.1428571,66.85714286,0.115,0.3,0.59,19.22,50.14,97.77857143,8,45.46285714,21.39428571,0,15.6,152.6014286,0,25,1,30,146.44388569065,25.4
1565,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,280,120,1043.045024,772.954976,171.4285714,68.57142857,0.115,0.3,0.59,19.71,51.43,100.2857143,8,46.62857143,21.94285714,0,16,156.5142857,0,25,1,30,149.8916571271,25.3
1566,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,287,123,1026.649881,769.150119,175.7142857,70.28571429,0.115,0.3,0.59,20.21,52.71,102.7928571,8,47.79428571,22.49142857,0,16.4,160.4271429,0,25,1,30,153.32406856355,25.2
1567,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,1010.929815,765.670185,180,72,0.115,0.3,0.59,20.7,54,105.3,8,48.96,23.04,0,16.8,164.34,0,25,1,30,156.76128,25.11
1568,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,301,129,967.961046,795.038954,184.2857143,73.71428571,0.115,0.3,0.59,21.19,55.29,107.8071429,8,50.12571429,23.58857143,0,17.2,168.2528571,0,25,1,30,160.22537143645,23.62
