Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,FA (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Total solution,Na2O (Dry),Sio2 (Dry),Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
105,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,4,60,0,173.222133333333,82
106,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,4.1,102.18,1,60,0,113.555133333333,56
107,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,60,0,117.315133333333,58
108,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,8.2,104.64,1,60,0,121.263133333333,57
109,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,10.2,105.84,1,60,0,125.023133333333,50
110,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,12.2,107.04,1,60,0,128.783133333333,50
111,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,14.3,108.3,1,60,0,132.731133333333,46
112,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,4.1,102.18,1,60,0.041666667,113.555133333333,56
113,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,60,0.041666667,117.315133333333,58
114,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,8.2,104.64,1,60,0.041666667,121.263133333333,57
