Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
785,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,20,20.8,83.2,0,0,74.6824,0,25,206.4832,20.5
786,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,10,41.4,27.6,0,0,112.8978,0,25,112.2492,21.27
787,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,15,27.6,41.4,0,0,99.0978,0,25,138.6762,22.99
788,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,20,13.8,55.2,0,0,85.2978,0,25,165.1032,23.06
789,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,10,62.4,41.6,0,0,116.2824,1,60,149.277533333333,40.73
790,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,15,41.6,62.4,0,0,95.4824,1,60,189.109533333333,42.91
791,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,20,20.8,83.2,0,0,74.6824,1,60,228.941533333333,41.2
792,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,10,41.4,27.6,0,0,112.8978,1,60,134.707533333333,37.69
793,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,15,27.6,41.4,0,0,99.0978,1,60,161.134533333333,38.85
794,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,20,13.8,55.2,0,0,85.2978,1,60,187.561533333333,39.27
1043,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,0,1208,650,84,56,1.53,84,0.147,0.294,0.56,12.35,24.7,46.956,56,10,33.6,22.4,48,20,140.556,0,25,140.4544,40.89
1044,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,0,1182,636,120,60,1.53,120,0.147,0.294,0.56,17.64,35.28,67.08,60,12,31.2,28.8,48,20,158.28,0,25,165.4784,38.47
1045,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,0,1156,622,157,63,1.53,157,0.147,0.294,0.56,23.08,46.16,87.763,63,14,27.72,35.28,48,20,175.483,0,25,191.0156,36.94
1046,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,168.91,56.05
1047,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,0,1132,609,145,58,1.53,145,0.147,0.294,0.56,21.32,42.63,81.055,58,10,34.8,23.2,54,22.5,183.355,0,25,170.6848,41.4
1048,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,0,1102,594,149,99,1.53,149,0.147,0.294,0.56,21.9,43.81,83.291,99,12,51.48,47.52,54,22.5,202.271,0,25,218.4816,35.03
1049,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,0,1115,600,125,50,1.53,125,0.147,0.294,0.56,18.38,36.75,69.875,50,12,26,24,60,25,170.875,0,25,172.192,52.23
1050,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,0,1082,583,135,90,1.53,135,0.147,0.294,0.56,19.85,39.69,75.465,90,14,39.6,50.4,60,25,190.065,0,25,226.108,40.13
1051,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,0,1050,565,183,92,1.53,183,0.147,0.294,0.56,26.9,53.8,102.297,92,10,55.2,36.8,60,25,232.497,0,25,217.104,32.61
